Round_ID;Works_Order_No;Yard_Location;HSM_LPST;HSM_PSD;SO_Due_Date;Sales_Ord_No;Prod_Grp;Slab_Grade;Customer_Name;Sort_Grade;Slab_Weight;Expedite_Level;CULPST;Round_Type;Flow;Furnace_Group;Internal_Order;Galv_Options;SelectionCost
HMC;0001056820;InnerBay;6/14/2018;6/17/2018;6/18/2018;1527270010;HR;37AB1;NS Sales, Inc. - Metal One America;9;21518;;6/14/2018;Light Regular;HR;;;;0.3521
HMC;0001056821;InnerBay;6/14/2018;6/17/2018;6/18/2018;1527270010;HR;37AB1;NS Sales, Inc. - Metal One America;9;21509;;6/14/2018;Light Regular;HR;;;;0.3521
HMC;0001056822;InnerBay;6/14/2018;6/17/2018;6/18/2018;1527270010;HR;37AB1;NS Sales, Inc. - Metal One America;9;21546;;6/14/2018;Light Regular;HR;;;;0.3521
HM-ALL;0001056823;InnerBay;6/14/2018;6/15/2018;6/18/2018;1525590010;HR;M5R80;McNeilus Steel Inc;4;21428;;6/14/2018;Intermediate HSLA;HR;;;;0.3521
HM-ALL;0001056824;InnerBay;6/14/2018;6/15/2018;6/18/2018;1525590010;HR;M5R80;McNeilus Steel Inc;4;21239;;6/14/2018;Intermediate HSLA;HR;;;;0.3521
HM-ALL;0001056832;InnerBay;6/20/2018;6/18/2018;6/25/2018;1502860010;HR;M6R48;American Cast Iron Pipe Company;6;36605;;6/20/2018;Heavy;HR;;;;0.6578
NOK_No Location;0001056872;NoLocation;5/31/2018;6/12/2018;6/4/2018;1506570010;HR;M6R48;American Cast Iron Pipe Company;6;39862;;5/31/2018;Heavy;HR;;;;-7.5
HMC;0001056875;InnerBay;5/31/2018;6/12/2018;6/4/2018;1506570010;HR;M6R48;American Cast Iron Pipe Company;6;39862;;5/31/2018;Heavy;HR;;;;-7.5
NOK_Outer Bays;0001056886;OuterBay;6/28/2018;6/25/2018;7/2/2018;1502840010;HR;M6R48;American Cast Iron Pipe Company;6;35435;;6/28/2018;Heavy;HR;;;;1.071
HM-ALL;0001056893;InnerBay;6/7/2018;6/15/2018;6/11/2018;1506780010;HR;M6R48;American Cast Iron Pipe Company;6;39753;;6/7/2018;Heavy;HR;;;;-0.5
